scenario,year,initial_Pmax_Wp,remaining_capacity_percent,aging_loss_percent,remaining_Pmax_Wp,plant_remaining_capacity_MWp,estimated_module_count
530Wp,0,530.0,100.0,0.0,530.0,47.5,89622.64150943396
530Wp,1,530.0,98.0,2.0,519.4,46.55,89622.64150943396
530Wp,5,530.0,96.2,3.799999999999997,509.86,45.695,89622.64150943396
530Wp,10,530.0,93.95,6.049999999999997,497.935,44.62625,89622.64150943396
530Wp,15,530.0,91.7,8.299999999999997,486.01,43.5575,89622.64150943396
530Wp,20,530.0,89.45,10.549999999999997,474.085,42.48875,89622.64150943396
530Wp,25,530.0,87.2,12.799999999999997,462.16,41.42,89622.64150943396
530Wp,30,530.0,84.95,15.049999999999997,450.235,40.35125,89622.64150943396
540Wp,0,540.0,100.0,0.0,540.0,47.5,87962.96296296296
540Wp,1,540.0,98.0,2.0,529.2,46.55,87962.96296296296
540Wp,5,540.0,96.2,3.799999999999997,519.48,45.695,87962.96296296296
540Wp,10,540.0,93.95,6.049999999999997,507.33,44.62625,87962.96296296296
540Wp,15,540.0,91.7,8.299999999999997,495.18,43.5575,87962.96296296296
540Wp,20,540.0,89.45,10.549999999999997,483.03,42.48875,87962.96296296296
540Wp,25,540.0,87.2,12.799999999999997,470.88,41.42,87962.96296296296
540Wp,30,540.0,84.95,15.049999999999997,458.73,40.35125,87962.96296296296
550Wp,0,550.0,100.0,0.0,550.0,47.5,86363.63636363637
550Wp,1,550.0,98.0,2.0,539.0,46.55,86363.63636363637
550Wp,5,550.0,96.2,3.799999999999997,529.1,45.695,86363.63636363637
550Wp,10,550.0,93.95,6.049999999999997,516.725,44.62625,86363.63636363637
550Wp,15,550.0,91.7,8.299999999999997,504.35,43.5575,86363.63636363637
550Wp,20,550.0,89.45,10.549999999999997,491.975,42.48875,86363.63636363637
550Wp,25,550.0,87.2,12.799999999999997,479.6,41.42,86363.63636363637
550Wp,30,550.0,84.95,15.049999999999997,467.225,40.35125,86363.63636363637
